TotalQuantity,LocationId,AvgPricePaid,TotalExGST,AccountName
70,,29.74,2310.00,ALLY & SID
95,,20.58,2137.50,ALLY & SID
55,,24.27,1995.95,ALLY & SID
948,,2.52,1412.52,ALLY & SID
46,,31.70,1334.00,ALLY & SID
25,,38.18,1117.50,ALLY & SID
54,,25.07,1077.30,ALLY & SID
72,,13.87,997.20,ALLY & SID
22,,43.45,955.90,ALLY & SID
37,,22.86,804.75,ALLY & SID
17,,42.25,661.30,ALLY & SID
19,,17.68,608.00,ALLY & SID
206.46,,2.83,573.95,ALLY & SID
45.44,,13.68,556.64,ALLY & SID
39.74,,13.30,506.68,ALLY & SID
22,,21.52,473.44,ALLY & SID
28,,15.73,445.20,ALLY & SID
7,,41.63,428.05,ALLY & SID
65,,2.03,384.80,ALLY & SID
34,,11.00,374.00,ALLY & SID
29.08,,11.50,341.69,ALLY & SID
93.08,,6.79,302.51,ALLY & SID
14,,19.95,279.30,ALLY & SID
79.95,,3.82,267.83,ALLY & SID
86.99,,2.68,259.23,ALLY & SID
19,,10.72,249.85,ALLY & SID
35.62,,5.07,247.55,ALLY & SID
29,,8.50,246.50,ALLY & SID
32.55,,5.13,242.49,ALLY & SID
34,,7.00,238.00,ALLY & SID
14,,19.75,237.86,ALLY & SID
23,,11.83,235.75,ALLY & SID
34,,7.23,234.60,ALLY & SID
9,,25.92,233.55,ALLY & SID
10,,24.55,232.00,ALLY & SID
8,,25.55,204.40,ALLY & SID
34,,5.85,204.00,ALLY & SID
29,,6.67,191.11,ALLY & SID
13,,14.60,188.50,ALLY & SID
13,,11.26,187.72,ALLY & SID
5,,36.14,172.10,ALLY & SID
5,,16.50,151.75,ALLY & SID
5.622,,26.72,150.05,ALLY & SID
8,,17.06,147.52,ALLY & SID
7,,27.90,146.65,ALLY & SID
38.2,,2.03,143.25,ALLY & SID
2,,67.50,135.00,ALLY & SID
81.09,,2.74,133.79,ALLY & SID
54.78,,3.33,128.73,ALLY & SID
10.37,,13.31,127.03,ALLY & SID
7,,15.99,110.39,ALLY & SID
27,,3.19,106.65,ALLY & SID
30,,3.42,102.60,ALLY & SID
20,,5.00,100.00,ALLY & SID
30,,2.87,97.20,ALLY & SID
8,,10.18,95.12,ALLY & SID
3,,31.88,94.98,ALLY & SID
11,,9.05,94.49,ALLY & SID
39,,2.05,85.80,ALLY & SID
28.69,,5.13,85.49,ALLY & SID
6.132,,13.75,84.31,ALLY & SID
18.28,,5.07,81.34,ALLY & SID
14.34,,4.05,76.71,ALLY & SID
19,,3.95,75.05,ALLY & SID
8,,8.07,73.20,ALLY & SID
12,,8.40,71.40,ALLY & SID
7,,9.50,66.50,ALLY & SID
9,,7.28,66.24,ALLY & SID
2,,31.87,66.16,ALLY & SID
3,,20.38,65.10,ALLY & SID
2,,24.02,62.44,ALLY & SID
14,,4.76,62.44,ALLY & SID
31,,1.73,57.35,ALLY & SID
24.19,,2.20,53.21,ALLY & SID
2,,26.21,52.42,ALLY & SID
2,,25.33,50.66,ALLY & SID
2,,23.81,47.62,ALLY & SID
2,,23.24,46.48,ALLY & SID
16.57,,2.83,45.56,ALLY & SID
3,,14.98,44.28,ALLY & SID
2,,21.72,43.90,ALLY & SID
4,,10.50,42.00,ALLY & SID
2,,18.21,41.52,ALLY & SID
3,,9.86,41.43,ALLY & SID
1,,40.15,40.15,ALLY & SID
2,,19.67,39.34,ALLY & SID
3,,12.35,37.05,ALLY & SID
5,,6.59,35.40,ALLY & SID
3,,9.59,34.23,ALLY & SID
2,,16.80,33.60,ALLY & SID
2,,15.89,31.78,ALLY & SID
1,,31.58,31.58,ALLY & SID
1,,31.48,31.48,ALLY & SID
1,,31.06,31.06,ALLY & SID
1,,29.57,29.57,ALLY & SID
1,,27.50,27.50,ALLY & SID
2,,12.15,27.22,ALLY & SID
2,,15.60,27.00,ALLY & SID
1,,26.50,26.50,ALLY & SID
0.38,,68.50,26.03,ALLY & SID
1,,25.99,25.99,ALLY & SID
1,,25.85,25.85,ALLY & SID
2,,13.60,25.00,ALLY & SID
1,,24.59,24.59,ALLY & SID
4.57,,3.83,24.44,ALLY & SID
1,,23.06,23.06,ALLY & SID
3,,5.92,22.17,ALLY & SID
3.18,,6.27,22.10,ALLY & SID
4,,5.50,22.00,ALLY & SID
14,,2.15,20.86,ALLY & SID
5,,3.99,19.95,ALLY & SID
2,,9.77,19.10,ALLY & SID
1,,18.70,18.70,ALLY & SID
1,,18.46,18.46,ALLY & SID
1,,18.14,18.14,ALLY & SID
2,,9.43,18.00,ALLY & SID
2,,8.99,17.98,ALLY & SID
1,,17.62,17.62,ALLY & SID
1,,17.40,17.40,ALLY & SID
2,,7.90,17.24,ALLY & SID
1,,16.50,16.50,ALLY & SID
1,,16.20,16.20,ALLY & SID
1,,15.62,15.62,ALLY & SID
1,,15.37,15.37,ALLY & SID
5,,2.99,14.95,ALLY & SID
1,,14.95,14.95,ALLY & SID
1,,14.85,14.85,ALLY & SID
1,,14.67,14.67,ALLY & SID
1,,13.86,13.86,ALLY & SID
2,,6.70,13.40,ALLY & SID
3.63,,3.65,13.24,ALLY & SID
2,,6.60,13.20,ALLY & SID
1,,13.13,13.13,ALLY & SID
1,,13.10,13.10,ALLY & SID
1,,13.09,13.09,ALLY & SID
2,,6.50,13.00,ALLY & SID
1,,13.00,13.00,ALLY & SID
1,,12.55,12.55,ALLY & SID
3,,3.91,11.73,ALLY & SID
2,,5.72,10.40,ALLY & SID
1,,9.72,9.72,ALLY & SID
6,,1.60,9.60,ALLY & SID
1,,8.99,8.99,ALLY & SID
1,,8.47,8.47,ALLY & SID
2,,4.07,8.14,ALLY & SID
1,,7.86,7.86,ALLY & SID
1.09,,7.20,7.84,ALLY & SID
1,,7.55,7.55,ALLY & SID
1,,7.55,7.55,ALLY & SID
2,,3.75,7.50,ALLY & SID
1,,7.48,7.48,ALLY & SID
0.24,,29.80,7.15,ALLY & SID
1.38,,4.95,6.83,ALLY & SID
2,,3.25,6.50,ALLY & SID
2,,2.98,5.96,ALLY & SID
1,,5.20,5.20,ALLY & SID
2,,2.42,4.84,ALLY & SID
0.1,,46.50,4.65,ALLY & SID
1,,5.07,4.60,ALLY & SID
0.69,,5.75,3.96,ALLY & SID
1,,3.50,3.50,ALLY & SID
1,,3.05,3.05,ALLY & SID
1,,2.17,2.17,ALLY & SID
2,,0.01,0.02,ALLY & SID
